Player,Elo,Score,game_count,player_name,Pos,team,dob
Connor Carrick,1499.33636,40.00264305,15,Connor Carrick,D,TOR,4/13/94
Connor McDavid,1550.7968,92.76162402,136,Connor McDavid,C,EDM,1/13/97
Connor Murphy,1486.76992,27.11910438,74,Connor Murphy,D,ARI,3/26/93
Conor Sheary,1494.13423,34.66924369,28,Conor Sheary,L,PIT,8/6/92
Corey Crawford,1530.8264,72.28729552,115,Corey Crawford,G,CHI,12/31/84
Corey Perry,1532.94329,74.45760264,96,Corey Perry,R,ANA,5/16/85
Cory Schneider,1538.97753,80.64410927,110,Cory Schneider,G,NJD,3/18/86
Craig Anderson,1509.68703,50.61449949,95,Craig Anderson,G,OTT,5/21/81
Craig Smith,1510.25894,51.20084094,118,Craig Smith,R,NSH,9/5/89
Curtis Lazar,1494.68745,35.23642352,84,Curtis Lazar,R,OTT,2/2/95
Curtis McElhinney,1470.75627,10.7013696,106,Curtis McElhinney,G,CBJ,5/23/83
Dainius Zubrus,1481.43835,21.65299876,67,Dainius Zubrus,C,SJS,6/16/78
Dale Weise,1494.23483,34.77238221,93,Dale Weise,R,CHI,8/5/88
Dalton Prout,1472.87482,12.87337861,115,Dalton Prout,D,CBJ,3/13/90
Damon Severson,1503.99252,44.77629553,97,Damon Severson,D,NJD,8/7/94
Dan Boyle,1501.5327,42.25440499,85,Dan Boyle,D,NYR,7/12/76
Dan Girardi,1487.90873,28.28665085,88,Dan Girardi,D,NYR,4/29/84
Dan Hamhuis,1515.88252,56.96632507,96,Dan Hamhuis,D,VAN,12/13/82
Daniel Carr,1495.4405,36.00847581,14,Daniel Carr,L,MTL,11/1/91
Daniel Catenacci,1490.62597,31.07245706,23,Daniel Catenacci,C,BUF,3/9/93
Daniel Sedin,1516.63451,57.73729061,76,Daniel Sedin,L,VAN,9/26/80
Daniel Winnik,1500.63299,41.33199192,88,Daniel Winnik,L,WSH,3/6/85
Danny DeKeyser,1509.66643,50.59337968,112,Danny DeKeyser,D,DET,3/7/90
Darcy Kuemper,1476.61081,16.70364172,102,Darcy Kuemper,G,MIN,5/5/90
Darnell Nurse,1493.5526,34.07293698,19,Darnell Nurse,D,EDM,2/4/95
Darren Dietz,1489.22283,29.63391055,33,Darren Dietz,D,MTL,7/17/93
Darren Helm,1496.47796,37.07211484,120,Darren Helm,C,DET,1/21/87
Dave Bolland,1485.64503,25.96582916,122,Dave Bolland,C,FLA,6/5/86
David Backes,1529.43987,70.86577814,102,David Backes,C,STL,5/1/84
David Clarkson,1472.44728,12.43505016,100,David Clarkson,R,CBJ,3/31/84
David Desharnais,1497.22239,37.83532962,126,David Desharnais,C,MTL,9/14/86
David Jones,1487.41863,27.78418378,105,David Jones,R,MIN,8/10/84
David Krejci,1534.26648,75.81418171,122,David Krejci,C,BOS,4/28/86
David Legwand,1481.3819,21.59512432,92,David Legwand,C,BUF,8/17/80
David Pastrnak,1512.59066,53.59139903,68,David Pastrnak,R,BOS,5/25/96
David Perron,1515.02423,56.08637718,105,David Perron,L,ANA,5/28/88
David Savard,1486.17449,26.50864944,124,David Savard,D,CBJ,10/22/90
David Schlemko,1489.41255,29.8284179,64,David Schlemko,D,NJD,5/7/87
David Warsofsky,1495.23447,35.7972469,42,David Warsofsky,D,NJD,5/30/90
Dennis Rasmussen,1491.01847,31.47486132,39,Dennis Rasmussen,C,CHI,7/3/90
Dennis Seidenberg,1505.59594,46.42017586,91,Dennis Seidenberg,D,BOS,7/18/81
Dennis Wideman,1496.72597,37.32638307,92,Dennis Wideman,D,CGY,3/20/83
Derek Dorsett,1481.76522,21.98811693,98,Derek Dorsett,R,VAN,12/20/86
Derek MacKenzie,1481.13842,21.3455004,92,Derek MacKenzie,C,FLA,6/11/81
Derek Stepan,1531.51049,72.98864769,127,Derek Stepan,C,NYR,6/18/90
Derick Brassard,1511.07042,52.03279764,111,Derick Brassard,C,NYR,9/22/87
Derrick Pouliot,1503.0318,43.79133294,66,Derrick Pouliot,D,PIT,1/16/94
Deryk Engelland,1475.27715,15.33632845,97,Deryk Engelland,D,CGY,4/3/82
Devan Dubnyk,1524.25463,65.54969498,134,Devan Dubnyk,G,MIN,5/4/86
Devante Smith-Pelly,1492.72308,33.22248506,87,Devante Smith-Pelly,R,NJD,6/14/92
Dion Phaneuf,1512.92944,53.93872772,111,Dion Phaneuf,D,OTT,4/10/85
Dmitrij Jaskin,1489.66866,30.09099052,96,Dmitrij Jaskin,R,STL,3/23/93
Dmitry Kulikov,1510.00203,50.93744813,96,Dmitry Kulikov,D,FLA,10/29/90
Dmitry Orlov,1499.62087,40.29433231,117,Dmitry Orlov,D,WSH,7/23/91
Dominic Moore,1495.69506,36.26945932,86,Dominic Moore,C,NYR,8/3/80
Dominik Simon,1488.74449,29.14350023,31,Dominik Simon,C,PIT,8/8/94
Dougie Hamilton,1524.52329,65.82513428,100,Dougie Hamilton,D,CGY,6/17/93
Drew Doughty,1545.10566,86.9268751,122,Drew Doughty,D,LAK,12/8/89
Drew Miller,1478.4821,18.62215143,91,Drew Miller,L,DET,2/17/84
Drew Stafford,1503.53055,44.30266828,102,Drew Stafford,R,WPG,10/30/85
Duncan Keith,1554.22502,96.27635094,123,Duncan Keith,D,CHI,7/16/83
Dustin Brown,1494.39811,34.93978238,98,Dustin Brown,R,LAK,11/4/84
Dustin Byfuglien,1537.15659,78.77722008,118,Dustin Byfuglien,D,WPG,3/27/85
Dwight King,1480.0598,20.23966275,101,Dwight King,L,LAK,7/5/89
Dylan Larkin,1509.92371,50.85715182,41,Dylan Larkin,C,DET,7/30/96
Dylan McIlrath,1489.77169,30.19662036,49,Dylan McIlrath,D,NYR,4/20/92
Eddie Lack,1502.19571,42.93414524,126,Eddie Lack,G,CAR,1/5/88
Elias Lindholm,1509.02611,49.93690199,71,Elias Lindholm,C,CAR,12/2/94
Emerson Etem,1491.22985,31.69157523,93,Emerson Etem,R,VAN,6/16/92
Eric Fehr,1493.5199,34.03941183,70,Eric Fehr,C,PIT,9/7/85
Eric Gelinas,1501.4954,42.21616377,59,Eric Gelinas,D,COL,5/8/91
Eric Gryba,1472.11722,12.0966615,128,Eric Gryba,D,EDM,4/14/88
Eric Nystrom,1482.55678,22.79965097,100,Eric Nystrom,L,NSH,2/14/83
Eric Staal,1530.62425,72.08004451,115,Eric Staal,C,NYR,10/29/84
Erik Condra,1502.06006,42.79507228,98,Erik Condra,R,TBL,8/6/86
Erik Gudbranson,1497.26693,37.88099353,92,Erik Gudbranson,D,FLA,1/7/92
Erik Gustafsson,1501.15718,41.86940921,34,Erik Gustafsson,D,CHI,3/14/92
Erik Haula,1486.31165,26.6492705,122,Erik Haula,C,MIN,3/23/91
Erik Johnson,1525.46861,66.79430827,110,Erik Johnson,D,COL,3/21/88
Erik Karlsson,1550.48982,92.44689776,136,Erik Karlsson,D,OTT,5/31/90
Evander Kane,1518.96914,60.13083213,91,Evander Kane,L,BUF,8/2/91
Evgeni Malkin,1553.28503,95.31264145,132,Evgeni Malkin,C,PIT,7/31/86
Evgeny Kuznetsov,1518.92225,60.08275892,121,Evgeny Kuznetsov,C,WSH,5/19/92
Evgeny Medvedev,1495.43595,36.003811,20,Evgeny Medvedev,D,PHI,8/27/82
Fedor Tyutin,1490.76951,31.21961912,94,Fedor Tyutin,D,CBJ,7/19/83
Filip Forsberg,1522.5779,63.83065476,85,Filip Forsberg,L,NSH,8/13/94
Francois Beauchemin,1510.01599,50.95176039,87,Francois Beauchemin,D,COL,6/4/80
Frank Corrado,1480.10834,20.28942759,108,Frank Corrado,D,TOR,3/26/93
Frans Nielsen,1497.53074,38.15146045,103,Frans Nielsen,C,NYI,4/24/84
Frederik Andersen,1518.47076,59.61987613,97,Frederik Andersen,G,ANA,10/2/89
Gabriel Bourque,1482.75178,22.99957155,101,Gabriel Bourque,R,NSH,9/23/90
Gabriel Landeskog,1525.9707,67.3090679,84,Gabriel Landeskog,L,COL,11/23/92
Garnet Hathaway,1500.13684,40.82332218,7,Garnet Hathaway,R,CGY,11/23/91
Garret Sparks,1487.27712,27.63910295,29,Garret Sparks,G,TOR,6/28/93
Garrett Wilson,1497.96863,38.60040007,7,Garrett Wilson,L,FLA,3/16/91
Grant Clitsome,1478.30305,18.43858332,103,Grant Clitsome,D,WPG,4/14/85
Gregory Campbell,1475.85016,15.92379765,83,Gregory Campbell,C,CBJ,12/17/83
Greg Pateryn,1479.49699,19.66265093,109,Greg Pateryn,D,MTL,6/20/90
Griffin Reinhart,1486.86157,27.21306706,84,Griffin Reinhart,D,EDM,1/24/94
Gustav Nyquist,1529.97997,71.4195069,91,Gustav Nyquist,R,DET,9/1/89
Hampus Lindholm,1536.68521,78.29394539,111,Hampus Lindholm,D,ANA,1/20/94
Henrik Lundqvist,1556.96802,99.08856718,126,Henrik Lundqvist,G,NYR,3/2/82
Henrik Sedin,1521.67083,62.90069596,72,Henrik Sedin,C,VAN,9/26/80
Henrik Zetterberg,1530.44948,71.90086441,89,Henrik Zetterberg,L,DET,10/9/80
Ian Cole,1508.33119,49.22444654,90,Ian Cole,D,PIT,2/21/89
Iiro Pakarinen,1494.05782,34.59090558,13,Iiro Pakarinen,R,EDM,8/25/91
Jaccob Slavin,1499.02739,39.68587657,27,Jaccob Slavin,D,CAR,5/1/94
Jack Eichel,1514.51672,55.56606078,48,Jack Eichel,C,BUF,10/28/96
Jack Johnson,1500.09975,40.78529626,110,Jack Johnson,D,CBJ,1/13/87
Jack Skille,1488.56977,28.96437138,52,Jack Skille,R,COL,5/19/87
Jacob De La Rose,1489.48433,29.90200918,49,Jacob De La Rose,L,MTL,5/20/95
Jacob Josefson,1471.96745,11.94311224,135,Jacob Josefson,C,NJD,3/2/91
Jacob Markstrom,1480.24996,20.4346212,106,Jacob Markstrom,G,VAN,1/31/90
Jacob Trouba,1515.05273,56.11559634,74,Jacob Trouba,D,WPG,2/26/94
Jaden Schwartz,1529.26686,70.68840244,98,Jaden Schwartz,L,STL,6/25/92
Jake Allen,1501.44042,42.15979642,100,Jake Allen,G,STL,8/7/90
Jake Gardiner,1515.8529,56.93595764,114,Jake Gardiner,D,TOR,7/4/90
Jake McCabe,1489.01288,29.41866272,55,Jake McCabe,D,BUF,10/12/93
Jake Muzzin,1521.84055,63.07469864,113,Jake Muzzin,D,LAK,2/21/89
Jake Virtanen,1497.66355,38.28762175,24,Jake Virtanen,R,VAN,8/17/96
Jakob Silfverberg,1520.17416,61.36625933,99,Jakob Silfverberg,R,ANA,10/13/90
Jakub Kindl,1494.10386,34.63810734,114,Jakub Kindl,D,FLA,2/10/87
Jakub Nakladal,1497.45627,38.07511129,29,Jakub Nakladal,D,CGY,12/30/87
Jakub Voracek,1532.09529,73.5882044,108,Jakub Voracek,R,PHI,8/15/89
James Neal,1521.12728,62.34343014,85,James Neal,R,NSH,9/3/87
James Reimer,1507.50309,48.37545045,113,James Reimer,G,SJS,3/15/88
James van Riemsdyk,1518.01144,59.14896575,103,James van Riemsdyk,L,TOR,5/4/89
James Wisniewski,1489.8399,30.26655155,88,James Wisniewski,D,CAR,2/21/84
Jamie Benn,1547.09833,88.96982768,113,Jamie Benn,L,DAL,7/18/89
Jamie McBain,1486.41975,26.76009827,105,Jamie McBain,D,LAK,2/25/88
Jamie McGinn,1486.49473,26.8369703,98,Jamie McGinn,L,ANA,8/5/88
Jamie Oleksiak,1499.03056,39.68912657,58,Jamie Oleksiak,D,DAL,12/21/92
Jannik Hansen,1497.75663,38.38305051,100,Jannik Hansen,R,VAN,3/15/86
Jared Boll,1474.88988,14.93928617,96,Jared Boll,R,CBJ,5/13/86
Jared McCann,1492.38503,32.87590478,48,Jared McCann,C,VAN,5/31/96
Jared Spurgeon,1522.60982,63.86338022,136,Jared Spurgeon,D,MIN,11/29/89
Jarome Iginla,1516.42472,57.52220682,58,Jarome Iginla,R,COL,7/1/77
Jaromir Jagr,1517.18872,58.30548542,57,Jaromir Jagr,R,FLA,2/15/72
Jaroslav Halak,1517.34181,58.46243846,104,Jaroslav Halak,G,NYI,5/13/85
Jarret Stoll,1489.60083,30.02144892,43,Jarret Stoll,C,MIN,6/24/82
Jason Chimera,1495.10722,35.6667859,79,Jason Chimera,L,WSH,5/2/79
Jason Demers,1504.12239,44.90944264,116,Jason Demers,D,DAL,6/9/88
Jason Garrison,1496.16356,36.74978134,89,Jason Garrison,D,TBL,11/13/84
Jason Pominville,1513.32688,54.34619663,94,Jason Pominville,R,MIN,11/30/82
Jason Spezza,1521.38139,62.6039523,105,Jason Spezza,C,DAL,6/13/83
Jason Zucker,1504.87465,45.680685,107,Jason Zucker,L,MIN,1/16/92
Jay Beagle,1485.87686,26.20350911,95,Jay Beagle,R,WSH,10/16/85
Jay Bouwmeester,1508.17246,49.06171118,112,Jay Bouwmeester,D,STL,9/27/83
Jay McClement,1474.76754,14.81385907,105,Jay McClement,C,CAR,3/2/83
JC Lipon,1492.26325,32.75105181,14,JC Lipon,R,WPG,7/10/93
Jean-Francois Berube,1475.09902,15.15370356,62,Jean-Francois Berube,G,NYI,7/13/91
Jean-Gabriel Pageau,1497.87439,38.50378204,112,Jean-Gabriel Pageau,C,OTT,11/11/92
